Norwegian,English
tulling,fool
ian,ian
mammas,mom's
øke,increase
matte,had to
avgårde,away
lngenting,LNGING
gate,street
gjore,do
fiske,fishing
spart,saved
reagerer,responds
anklaget,accused
meldingen,message
garantert,guaranteed
stjerner,star
vedde,bet
upassende,unsuitable
rane,rob
vask,wash
borgermester,mayor
droppe,drop
består,pass
unntak,exception
vinduene,windows
laben,lab
knappen,button
samtaler,conversations
synet,view
italiensk,Italian
fyll,stuffing
isaac,isaac
roman,novel
jøder,Jews
lunsjen,lunch
milde,mild
brillene,glasses
fuglen,bird
p,P
skjorte,shirt
råtne,rotten
joseph,joseph
knekke,crack
humor,mood
ærlige,honest
versjon,version
frukt,fruit
tårer,tears
kommandoen,command
svikte,fail
ører,ears
curtis,curtis
fornærmet,offended
identitet,identity
daglig,daily
michelle,Michelle
livredd,terrified
sørget,mourned
hodepine,headache
spenn,worse
intelligent,intelligent
varetekt,custody
byer,cities
anbefaler,recommend
hilser,greet
dyp,deep
blaffen,blast
pater,pater
dansen,dance
kunnskap,knowledge
sendes,shipped
leken,playful
teite,tap
sky,cloud
perry,perry
skilles,divorce
straffet,punished
seattle,seattle
baseball,baseball
smittet,infected
cirka,approximately
ape,monkey
road,road
randall,randal
kameraer,cameras
lomma,pocket
handel,trade
tålmodighet,patience
utslitt,exhausted
vitenskap,science
troy,troy
jøde,Jew
lance,lance
alarmen,alarm
medlemmer,members
bond,bond
presis,precise
skummelt,scary
moskva,Moscow
lawrence,lawrence
lars,Lars
støtt,support
kysser,kiss
bygning,building
freddie,freddie
utkikk,look
dobbel,double
patetisk,pathetic
medisiner,medication
catherine,catherine
oppover,upwards
samfunn,society
l.a.,let.
måltid,meal
fordømt,condemned
edie,edie
friske,healthy
skinner,shine
bagasjerommet,trunk
demoner,demons
idiotisk,idiotic
bønn,prayer
favoritt,favorite
liam,liam
gevær,rifle
hanna,Hanna
ogsa,also
mate,feed
lengst,furthest
spy,ske
nærmest,closest
vokst,wax
blander,mix
japan,Japan
dytt,pat
halvveis,halfway
unødvendig,unnecessary
merkelige,strange
dallas,Dallas
dødt,dead
konsentrere,concentrate
studerer,study
guttungen,kid
base,base
dopet,baptized
kristen,Christian
unngår,avoid
stanser,stops
grusomme,cruel
festet,attached
heit,hot
motiv,motive
tvers,transversely
heather,heat
jakke,jacket
terrorister,terrorists
vognen,wagon
watson,watson
innflytelse,influence
tørke,drought
døv,deaf
duger,good
daggry,dawn
kjemp,fight
celle,cell
TRUE,THREATEN
hotel,hotel
gule,yellow
avgjørende,decisive
bagen,bag
indianere,Indians
mickey,mickey
dater,date
zach,zach
styrker,forces
holly,holly
barney,barny
kent,kent
menig,congregation
fyrer,guys
omringet,encircled
beveg,move
sans,sense
biff,steak
godteri,candy
ar,year
keiseren,the emperor
omstendigheter,circumstances
pose,bag
rumpe,rump
okey,okay
blinde,blind
svakhet,weakness
parti,party
konstabel,constable
dikt,poem
klandre,bland
overlevd,survived
danmark,denmark
chester,chester
fatte,comprehend
formål,purpose
yo,yo
fisker,fisherman
beltet,belt
von,vess
vodka,vodka
statsminister,prime minister
fattig,poor
prinsen,prince
ku,cow
forskning,research
marihuana,marijuana
teorien,theory
aiie,aiie
fiks,fix
andrea,Andrea
suppe,soup
hjerter,hearts
rop,cry
antok,assumed
stuart,living
betal,pay
dets,its
følsom,sensitive
episode,episode
forhåpentligvis,hopefully
alison,alison
stresset,stressful
skap,cabinet
demon,demon
nigger,nigger
viiie,viiie
christopher,Christopher
vri,twist
årsaken,the reason
spøkelser,ghost
salg,sale
skyldige,guilty
esken,box
dyttet,pushed
alfred,alfred
cowboy,cowboy
nabo,neighbor
funket,work
sinnssyk,insane
wendy,wendy
blue,blue
kødde,flesh
pussig,weird
æsj,Yuck
north,North
motbydelig,disgusting
byr,ANY
porno,porn
neal,neal
feig,coward
utsikt,view
vestover,westwards
irak,Iraq
konsentrer,concentrate
satse,bet
go,good
femti,fifty
tie,silence
franklin,franklin
bind,blindfold
angel,angel
bagasjen,luggage
kanal,channel
sone,zone
skjermen,screen
informert,informed
pasientene,the patients
rådgiver,adviser
registrert,registered
liggende,llerosis
rotte,rat
fredelig,peaceful
alvorlige,serious
stone,stone
bii,bii
sikter,sights
audrey,audrey
klubb,club
reddington,reduction
maleriet,painting
bekjempe,combat
begrenset,limited
vind,wind
kriminell,criminal
skammer,ashamed
interessante,interesting
tipper,guess
vitsen,joke
serien,series
lavere,lower
utfordring,challenge
forslaget,suggestion
ukjente,unknown
smerter,pain
uttrykket,phrase
samarbeid,cooperation
trinn,step
alibi,alibi
fanden,pove
drapene,killings
mammaen,mum
hills,hills
snike,sneak
tina,tina
evnen,ability
ms,ms
beholdt,retained
inspektør,inspector
wyatt,wyatt
kjapt,fast
tiger,tiger
borgermesteren,mayor
velsignelse,blessing
kamper,Matches
kjøttet,flesh
guy,guy
y,y
sporene,tracks
samling,collection
zombie,zombie
connor,connor
utnytter,exploit
fylte,stuffed
foreløpig,so far
tiltalte,accused
orleans,orleans
rotter,roots
hete,heat
ford,Ford
identifisert,identified
keen,keen
korte,short
røret,tube
lynet,lightning
sms,sms
bena,legs
buck,buck
thompson,thompson
rob,rob
vellykket,successful
hevne,avenge
barnebarn,grandson
hurpe,whip
sal,saddle
shane,shane
brakt,brought
more,more
belønning,reward
vanvittig,insane
kennedy,kennedy
rammet,affected
hevet,raised
følgende,following
meldt,reported
central,central
sønns,son
gabriel,gabriel
brenn,burn
mislyktes,failed
jaktet,hunted
bring,bring
philip,philip
sjakk,chess
eksen,ex
harjeg,have I
dattera,the daughter
låste,lock
klassisk,classical
bie,bee
posisjonen,position
innebærer,involves
aksepterer,accept
dukk,doll
abu,to live
livstid,lifetime
leppene,lips
earl,earl
snudde,turned
forbereder,prepare
knep,trick
omvendt,reverse
engler,Angels
gul,yellow
skrivebordet,desk
ryddet,cleared
ait,AIT
forferdelige,terrible
gård,farm
hr.,Mr.
korporal,corporal
pat,pat
drapsmann,killer
ankommer,arrives
skamme,shame
skilsmisse,divorce
gjenstår,remain
forbered,prepare
steiner,stones
avery,avery
blakk,broke
paranoid,paranoid
flinke,good
tv-en,the TV
barnevakt,babysitting
rekkevidde,range
tungen,tongue
vietnam,Vietnam
erstatte,substitute
enestående,unique
lillebror,little brother
seile,sail
fangen,prisoner
øh,island
synker,drops
bevisstløs,unconscious
pĺ,on
diego,diego
maler,painter
fase,phase
kursen,course
antyder,suggests
biir,biir
undersøker,investigator
tårnet,tower
ektemannen,husband
julen,Christmas
betaling,payment
bet,bet
sigaretter,cigarettes
tau,rope
moses,moses
forestillingen,the show
dyret,animal
ambassaden,embassy
fineste,finest
prosessen,process
harrison,harrison
tiltalt,culprit
grimm,grimm
dropp,drop
drukne,drown
minus,minus
forbryter,criminal
kunstner,artist
sjette,sixth
seriøs,serious
avenue,avenue
overvåker,monitor
forbannelse,curse
historiene,stories
bay,bay
hensyn,consideration
kameraene,cameras
ryktene,rumors
cameron,cameron
kommentar,comment
finger,finger
kg,kg
mel,flour
britisk,British
lettet,relieved
vinneren,winner
bokser,boxer
militær,military
miguel,miguel
willie,willie
agenten,agent
samantha,samantha
syne,show
nicole,nicole
hall,hall
anderson,Anderson
roter,root
brus,soda
kanten,edge
herrens,the Lord's Lord
tracy,tracy
vinen,wine
eide,owned
risikoen,risk
olivia,Olivia
sigarett,cigarette
undersøkt,investigated
oversettelse,translation
richie,richie
terapi,therapy
kansas,chance
idet,as
opptaket,recording
drakten,suit
femten,fifteen
on,on
pågrepet,arrested
bro,bridge
plantet,planted
høyde,height
fokus,focus
bingo,bingo
cindy,cindy
beach,beach
fullført,finished
forlovede,fiancé
underveis,along the way
avslører,reveals
lokal,local
statsadvokaten,prosecutor
denise,denise
streng,string
gissel,hostage
ruby,ruby
svarene,the answers
koma,coma
bang,bang
våren,spring
dana,dana
sophie,sophie
sue,sue
håndjern,handcuffs
velsignet,bless
drivstoff,fuel
ettersom,eventually
filler,filler
ari,to ride
arnold,arnold
teppe,carpet
sport,sport
pang,power
behagelig,agreeable
krangel,quarrel
campbell,campbell
overrasker,surprise
virus,virus
uflaks,unlucky
leverte,delivered
avskyr,abusive
flokk,herd
victoria,victoria
tørr,dry
lastebil,truck
jakka,jacket
ukene,weeks
diana,diana
laurel,laurel
craig,Craig
enterprise,enterprise
arr,scar
naboer,neighbours
jean,jean
ytre,exterior
mere,more
triste,sad
borti,exceed
netter,nights
døgn,day and night
brors,brother
positivt,positive
fiona,fiona
kjenn,feel
eie,own
mona,mona
forsyninger,provisions
avgjørelsen,the decision
utdannelse,education
kameraten,comrade
verktøy,tool
føde,feed
krysser,cross
sand,sandy
svensk,Swedish
styrte,overthrow
tapet,wallpaper
lester,read
desember,December
luktet,smelled
sprenger,bursts
kid,kid
krasjet,crashed
tjenesten,service
sperret,barred
caleb,caleb
guder,gods
lungene,lungs
økonomisk,economic
ubrukelig,useless
lloyd,lloyd
stasjon,station
mystisk,mysterious
resultater,results
mene,mean
alderen,age
bite,bite
ansette,employ
mangel,lack
dyre,expensive
rosie,rosie
wade,wade
stephen,stephen
føl,feel
kjeks,biscuit
farger,color
salen,hall
sjenert,shy
skjønn,beautiful
flasken,bottle
uh,unheard
låt,song
forsikring,insurance
kriminalitet,crime
samarbeidet,collaboration
sonny,sonny
partiet,party
a.,a.
fargen,color
fuglene,the birds
skuffe,disappoint
frykte,frighten
wells,well
ungdom,youth
elendige,miserable
egypt,Egypt
ivrig,eager
ellie,Ellie
datamaskin,computer
mødre,mothers
glor,glor
bestemoren,grandmother
merlin,merline
avdøde,the deceased
eggene,eggs
motsetning,contrary
flint,flint
uheldig,unfortunate
obersten,colonel
samles,gather
lukt,smell
utvikle,develop
cal,cal
trusler,intimidation
blått,blue
donnie,Donnie
kulen,bullet
riket,kingdom
posen,bag
rense,clean
svette,sweat
plukker,picking
mistenker,suspect
philadelphia,Philadelphia
reed,reed
lyttet,listened
debbie,debbie
x,x
hale,tail
inngå,enter into
bree,bree
værende,stay
nærvær,presence
avvist,rejected
strid,bought
glenn,gler
maya,maya
lyv,lie
sterkeste,strongest
katherine,katherine
eksplosjonen,explosion
rute,route
flagget,flag
magnus,magnus
sosiale,social
fryktet,feared
dessert,dessert
pierce,pierce
knull,fuck
flytende,liquid
vogn,wagon
helse,health
bacon,bacon
pam,pam
kristne,Christian
hughes,Hughes
krigere,warrior
klør,claws
foreslo,suggested
nora,Nora
bommet,boom
slettet,deleted
cola,cola
lena,lena
studert,studied
snarere,rather
vane,habit
donald,donald
graham,graham
chase,chase
mistanke,suspicion
lois,lois
sug,suction
forvente,expect
funke,work
offentlige,public
tilstanden,state
salgs,sale
hage,garden
beviset,proof
besluttet,decided
bakgrunnen,the background
senatet,senate
respektere,respect
virkelighet,reality
troll,troll
gærning,deed
dato,date
forvandlet,transformed
deprimert,depressed
hmm,hmm
lidelse,affliction
gjerningsmannen,the perpetrator
delvis,partial
ashley,ashley
servere,serve
imponere,impress
sjeler,souls
myk,soft
piken,girl
kvinnelige,female
unnskyldt,excuse
south,south
plasser,place
stella,stella
vanessa,vanessa
rote,root
ridder,knight
nicky,nicky
dødelige,deadly
cox,cox
januar,January
barbie,barbie
smør,butter
sy,sew
øvelse,exercise
oppriktig,sincere
giften,poison
verdenskrig,world war
tonn,ton
voldelig,violent
svømmer,swimming
sullivan,sullivan
lam,lamb
wallace,wallace
bella,bella
galning,crazy
veronica,veronica
kolleger,colleagues
lev,live
foreslå,suggest
beroligende,Calming
mystiske,mysterious
israel,Israel
drapsmannen,the killer
gammeldags,old -fashioned
sikkerhets,security
ward,ward
bade,both
right,right
hodene,heads
sort,black
bernie,Bernie
terrorist,terrorist
forretningene,business
vesen,being
pølse,sausage
feilen,error
støv,dust
paradis,paradise
visstnok,apparently
lovende,promising
eske,box
tonen,tone
porter,gates
ris,rice
vera,be
forræderi,betrayal
minnene,memories
konstant,constant
dommen,the verdict
doyle,dooyle
masken,mask
tispe,bash
erjeg,am I
flåten,fleet
vinger,wings
rydder,clear
vurdert,considered
cody,cody
renner,drains
begravet,buried
overvåket,monitored
fox,fox
tilfellet,case
bidra,contribute
mikey,mikey
avbryt,interrupt
sporer,tracker
buddy,buddy
silver,silver
paven,pope
religion,religion
pga.,because of.
stige,ladder
jonah,jonah
senke,lower
pilot,pilot
cam,cam
tillatt,permissible
mm,mm
sekken,the bag
gjetter,guess
tving,force
brevene,the letters
dødsfall,death
long,long
tropper,troops
gresset,the grass
øverst,top
tess,tess
øverste,upper
nøkler,keys
kokk,cook
manglet,lacked
sykkel,bicycle
avtaler,appointments
duke,cloth
kondolerer,condolences
hendelser,events
planlegge,plan
risikabelt,risky
igang,Started
steinene,stones
begår,commit
dropper,drops
skåret,cut
juliette,Juliette
owen,owen
phillip,phillip
roer,calm
plassert,placed
klokt,wise
overraskelser,surprises
akt,current
vic,vic
støvlene,boots
voldtatt,rape
hittil,so far
henrettet,executed
bær,berry
engelske,English
småen,little
tilfeldighet,luck
jag,yield
walsh,walsh
familiens,family
bur,cage
bekymring,worry
settes,set
em,European
sprengte,blast
katter,cat
bart,mustache
overgir,surrender
sprengt,blast
liter,liter
krone,crown
kommunikasjon,communication
jan,jan
oftere,more often
mynt,coin
affære,affair
kvalt,choked
omstendighetene,the circumstances
crane,crane
skipene,ships
flyter,flow
kjapp,quick
id,ID
brua,bridge
lengter,long
skyggen,shade
aktivitet,Activity
strupen,throat
inviterer,invites
overført,transfered
skjelver,tremble
farta,speed
sid,site
motsatt,opposite
club,club
mannskap,crew
mottar,receive
presidentens,president
modige,brave
skjerp,sharp
kikket,looked
generasjon,generation
slangen,hose
world,world
solid,solid
meldinger,messages
rogers,rogers
tidenes,the time
hjørne,corner
smørbrød,sandwich
badekaret,bath
hytte,cottage
spytt,spit
tittelen,title
innsatsen,effort
lyktes,succeeded
valentine,valentine
nytter,useful
kvart,quarter
udyret,the beast
fortet,fort
garanterer,guarantees
uenig,disagree
vene,vein
briller,glasses
etterlatt,left behind
måttet,had to
budskap,message
beskjeder,messages
zoe,zoe
sekretær,secretary
fokuser,focus
turner,gymnast
kveldens,evening's
rettet,corrected
hukommelsen,the memory
gripe,grab
enheten,the unit
bilulykke,car accident
iris,iris
kvartaler,quarters
søkt,searched
flagg,flag
hyggelige,nice
sene,tendon
konkurransen,competition
forgjeves,in vain
gentleman,gentleman
anders,Anders
britene,Brits
hawaii,hawaii
genialt,brilliant
forståelse,understanding
skarp,sharp
tenne,ignite
lytt,listen
sjokkert,shocked
tyster,silent
passere,pass
resultatene,the results
smakt,taste
stål,steel
kjennes,feel
befri,free
hjerteinfarkt,heart attack
mistenkelig,suspicious
psykopat,psychopath
behandlingen,the treatment
negativ,negative
tegne,draw
oppførte,listed
dramatisk,dramatically
slaktet,slaughter
borgere,citizens
frokosten,breakfast
massevis,mass
melanie,melanie
boss,boss
offiserer,officer
marianne,Marianne
motta,receive
grupper,groups
angie,angie
sorry,sorry
avlyse,cancel
gid,gid
fots,foot
stjernen,star
unik,unique
ragnar,ragnar
rex,rex
opplevelse,experience
eksploderer,explodes
malt,measured
vendte,turned
evan,Evan
lommeboka,wallet
lyse,bright
medisinske,medical
treneren,coach
kinesiske,Chinese
oksygen,oxygen
trafikken,traffic
uttrykke,express
sølv,silver
forstod,understood
uniformen,the uniform
seksuelt,sexual
verdifull,valuable
sunt,healthy
klaus,clause
trevor,wood
bevist,proven
east,East
he,cheer
kane,can
diskuterer,discuss
sherman,sherman
alec,alec
helga,weekend
kunsten,art
nicholas,nicholas
jeremy,jeremy
stengte,shut
forskjellig,different
imellom,between
lyn,lightning
transport,transportation
avis,newspaper
randy,randy
resultat,result
innta,take
lidenskap,passion
kors,cross
drinken,drink
lykken,happiness
låner,borrower
låven,barn
kommando,command
tragedie,tragedy
abraham,Abraham
bakgrunn,background
eve,eve
pä,on
studio,studio
georgia,Georgia
dreit,twist
karakter,character
bot,fine
maken,like
fronten,front
aktivert,enabled
forrådte,betrayed
vasken,sink
elvis,electric
mappen,folder
papiret,the paper
konkurs,bankrupt
stockholm,stockholm
hey,hey
testen,test
konto,account
shit,shit
manhattan,manhattan
eksploderte,exploded
klemme,clamp
caroline,caroline
aktiv,active
rudy,rudy
adlyde,obey
nådde,reached
forhandler,merchant
streken,line
bell,bell
detalj,detail
forbedre,improve
fingre,fingers
hverken,neither
skylde,owe
oppmerksomheten,attention
tilbrakte,spent
gjennomføre,implement
søpla,garbage
melissa,melissa
sunn,healthy
ovnen,stove
evelyn,evely
byrde,burden
falskt,false
rapporterer,report
energien,energy
stilen,style
reklame,advertising
eiier,Eiier
iskrem,ice cream
nåværende,current
thea,thea
student,student
kones,wife
protest,protest
batman,batman
begynnelse,beginning
framfor,before
oppå,on top
peiling,bearing
leid,rent
glatt,smooth
teknologien,the technology
vokter,warden
åpnes,opens
tank,tank
elegant,elegant
tradisjon,tradition
legitimasjon,credential
verdighet,dignity
tusener,thousand
flynn,flight
elev,pupil
humøret,mood
konsekvenser,consequences
spandere,spend
motstå,resist
skurk,villain
varsel,notice
mesteparten,most
lauren,lauren
kassen,the box
konsekvensene,consequences
seieren,victory
snøen,snow
forsiden,front
moroa,fun
kritisk,critical
jordens,earth
drama,drama
allison,allison
foreta,make
grepet,grip
økt,increased
beseire,besiege
kontant,cash
opptre,Act
datters,daughter's
trappa,stairs
kjempefint,great
havnen,port
jill,jill
kaker,cakes
zack,zack
diamanter,diamonds
len,seal
førerkort,driver license
mafiaen,the mafia
rattet,steering wheel
utgjør,make up
laboratoriet,laboratory
ä,Ä
nevøen,nephew
zombier,zombies
oppført,listed
connie,connie
utvalgte,selected
marshal,marshal
samt,as well
lapp,patch
tronen,throne
tate,tate
heia,go
positiv,positive
aktor,prosecutor
huet,hat
forfølger,persecute
stabil,stable
potter,pots
behager,please
omgitt,surrounded
seiler,sails
motorveien,motorway
utsikten,view
kusine,cousin
kokken,chef
australia,Australia
ansvarlige,responsible
blake,blake
organisasjon,organization
ballet,ballet
aidri,aidri
politimenn,police officer
advart,warrant
fedre,fathers
nelson,nelson
permanent,permanent
dokumenter,documents
bennett,bennett
forretning,business
knapp,button
meningsløst,meaningless
kåt,horn
dalen,valley
monstre,monsters
slitt,worn
golf,golf
leon,leon
saul,saul
anser,consider
taklet,tackled
riley,riley
kompliment,compliment
whoa,whoa
assistenten,assistant
slips,tie
hovedkvarteret,headquarters
tilfeller,instances
klippet,clip
speil,mirror
skyting,shooting
monsteret,monster
kuppelen,dome
droppet,dropped
filmene,the movies
jens,jens
omar,omar
puls,pulse
barnebarnet,the grandson
sesong,season
avlyst,cancelled
knipe,squeeze
tilbudt,offer
ironisk,ironic
erklærer,declares
tyveri,theft
krevde,demand
foster,fetal
informere,inform
bestandig,always
binde,bind
sniker,jerk
oppdratt,raised
blåste,blown
elena,elena
proff,professional
materiale,material
pai,pie
prøvene,the samples
skjær,cut
reese,reese
hendelsen,the incident
rått,raw
tent,ignition
polly,polly
dressen,dress
skjold,shield
døtre,daughters
interesser,interests
savnede,missing
kilder,sources
sjøl,even
standard,standard
tilgitt,forgiveness
profil,profile
hammer,hammer
mist,lose
tvert,on the contrary
psykiater,psychiatrist
forsikrer,insures
vinter,winter
framtida,future
føderale,federal
arvet,inherited
honning,honey
gjenkjenner,recognize
angrip,attack
voldtekt,rape
skaden,the damage
flest,most
burke,burke
penis,penis
kronen,crown
kuren,cure
daten,date
oppgi,surrender
kvinnelig,female
telt,tent
serverer,serve
brud,bride
bonnie,Bonnie
robot,robot
plante,plant
juridisk,legal
gående,walking
rotta,rat
rulle,roll
j,j
halen,tail
forestilling,performance
info,info
førstebetjent,first
adams,Adams
tåle,tolerate
rydd,tidy
allergisk,allergic
opplever,experience
harper,harper
blomst,flower
skadene,the damage
privatliv,privacy
bland,mix
sjekken,check
oppdra,raise
drage,dragon
gassen,gas
kanin,rabbit
alltids,always
legende,legend
lommen,pocket
kjærester,couple
avslørte,revealed
århundrer,centuries
leier,tenant
etterretning,intelligence
motet,courage
mage,stomach
halloween,halloween
prinsessen,princess
psykolog,psychologist
singel,single
utvikling,development
anfall,seizure
landing,landing
periode,period
venne,weird
menneskets,human
undertøy,underwear
maske,mask
lita,trust
nese,nose
h,H
teresa,teresa
gisler,hostage
festlig,festive
avtalt,agreed
forfremmet,promoted
kjærlig,loving
j.,J.
ranchen,the ranch
fremst,foremost
færre,fewer
vingene,wings
høyst,most
pearl,pearl
enke,widow
troppene,troops
lekser,homework
beseiret,defeat
symbol,symbol
soverom,bedroom
landsby,village
tara,tara
stevens,stevens
calvin,calvin
raskeste,fastest
svær,difficult
teater,Theatre
stirret,stared
kelso,kelso
forbundet,interrelated
båter,boats
donovan,donovan
nervene,nerves
lettelse,relief
overbevisende,convincing
ettermiddagen,afternoon
worf,worf
køen,queue
hekser,witches
slitsomt,exhausting
fler,multiple
høvding,chief
unnskyldninger,apologies
avhør,interrogation
felt,pay
kamerater,comrades
dog,however
heve,raise
stemmene,voice
barnes,child
helena,helena
skuespill,plays
forloveden,fiance
kommende,future
avslappet,relaxed
bestiller,ordering
fysiske,physical
metoder,methods
gamlingen,old
kjedelige,boring
clara,clara
manus,script
kommunisere,communicate
ellis,Ellis
seksuelle,sexual
giftig,poisonous
lucifer,lucifer
tiltale,prosecution
kasse,case
visepresident,Vice President
japansk,Japanese
invitasjon,invitation
tulle,joke
gravde,dug
maks,max
forbindelsen,connection
robbie,Robbie
snek,sneak
garantere,guarantee
dorothy,dorothy
svinger,turns
husene,houses
storartet,wonderful
elektrisk,electric
anton,Anton
kvinnfolk,women's
forvirrende,confusing
utfører,carry out
lokket,lid
unnslippe,elude
digger,digger
kira,Kira
blair,blue
juan,juan
dragen,dragon
hindret,hindered
may,may
homofil,gay
planter,plants
absurd,absurd
bakfra,from behind
jed,jed
bruden,bride
arizona,arizona
hule,cave
imens,Meanwhile
drukner,drowns
varte,last
egentlige,real
antallet,the number of
satset,bet
ledd,joint
iitt,IAIT
forretningsmann,businessman
tapere,losing
forbannede,cursed
effektivt,efficient
roser,roses
bonde,farmer
passerer,passes
cuba,cuba
øver,above
eksplosjon,explosion
total,total
vendt,facing
harvard,harvard
kitty,kitty
khan,khan
kandidat,candidate
havn,port
anklage,accusation
darcy,darcy
mønster,pattern
tallet,the number
treningen,training
byrået,agency
grunnleggende,basic
castle,castle
tunga,tongue
egget,egg
københavn,Copenhagen
presenterer,presents
aviser,newspaper
dokumentene,the documents
gram,gram
runder,round
ankom,arrived
slektninger,relatives
anspent,tense
barns,child
avisa,newspaper
sønnene,sons
group,group
minister,minister
billetten,ticket
babyer,babies
endring,change
tråden,thread
st,ST
trusselen,the threat
yrke,profession
strøk,coat
ytterligere,additional
sammentreff,coincidence
svimmel,Dizzy
uvitende,ignorant
bålet,fire
rommene,rooms
kredittkort,credit card
forklaringen,explanation
kulene,balls
stedene,places
diger,huge
insisterte,insisted
tipset,tip
bea,beale
gislene,hostages
lastet,loaded
ombestemmer,change
idag,Today
utvist,proven
fornærme,insult
herlige,wonderful
stammer,stems
yngste,youngest
samuel,Samuel
overse,overlook
inngangen,the entrance
wall,wall
robinson,Robinson
pyse,sleep
bates,bates
nødvendigvis,necessarily
århundre,century
rømmer,escape
fyrene,guys
uttalelse,statement
bål,campfire
grip,grip
klienter,clients
blø,bleed
tiibake,tenibake
nevø,nephew
spock,spock
undergang,downfall
brune,Brown
tullprat,customs
selvforsvar,self -defense
alpha,alpha
størrelsen,the size
arv,heritage
internasjonale,international
nød,emergency
koner,wives
holdning,attitude
cellen,cell
euro,Euro
ulven,wolf
overlater,leave
mill,mill
slette,delete
takknemlighet,gratitude
kultur,culture
gene,gene
vekten,weight
sirkus,circus
henrik,henrik
real,real
arne,arne
skyldfølelse,guilt
ambassadør,ambassador
østover,eastwards
tyver,thieves
ønsk,desire
revolveren,gun
innsjøen,lake
poker,poker
forskudd,advance
air,air
stekt,cooked
tenåring,teenager
tema,theme
kaken,cake
sharon,sharon
konger,kings
slott,palace
utseendet,appearance
ihjel,to death
kopier,copy
avbryter,interrupt
skjul,conceal
signert,signed
strekk,stretch
skottland,scotland
motor,engine
demonen,demon
frelse,salvation
områder,areas
gwen,gwen
juice,juice
teen,tea
lokke,lure
timing,timing
banne,swear
antonio,Antonio
hendelse,event
koordinatene,the coordinates
smaken,flavor
luther,luther
anmelde,review
fersk,fresh
myndighet,authority
ensomme,lonely
tell,count
pierre,pier
elever,students
herved,hereby
ruller,rolls
søvne,sleep
trygghet,safety
gangene,gips
viktor,Viktor
ly,shelter
kiste,coffin
skad,injury
konserten,concert
konsert,concert
endringer,changes
boyd,boys
ordrene,orders
sinnssykt,insane
ansiktene,faces
moralsk,moral
russ,russ
designet,design
pr,PR
idiotene,the idiots
klatrer,climber
tilbringer,spend
bevisst,conscious
abe,to ask
hastverk,haste
kriminalbetjent,criminal officer
skuldrene,shoulders
smykker,jewelry
skuddet,shot
innerst,inner most
bestevenner,best friends
fiendtlig,hostile
ryker,move
sårer,wounds
ledere,leaders
gærne,gl uses
konkurrere,compete
homer,homer
romeo,romeo
montana,montana
begeistret,excited
notater,notes
evnene,capabilities
sure,acid
soloppgang,sunrise
utvilsomt,undoubtedly
skjegg,beard
piloten,pilot
positive,positive
utseende,look
sammenlignet,compared
isteden,in stead of
gilbert,gilbert
etterlyst,wanted
lasten,load
mannens,man
clyde,clyd
distrikt,district
arresterer,arrest
damien,dam
ærend,errand
kjøretøy,vehicle
sammenheng,context
sårbar,vulnerable
ombestemt,changed
fe,fairy
ungdommer,youth
sidene,sides
hora,whore
frivillige,volunteers
valley,valley
hope,Hope
ludder,slut
hm,hm
mysterium,mystery
colt,colt
christine,Christine
solnedgang,sunset
paret,paired
baken,butt
morris,morris
edgar,edgar
pisset,pissed
nevn,mention
innelåst,unlocked
bernard,Bernard
søstrene,sisters
skoen,shoe
lyser,lights
strategi,strategy
vesle,very
vandrer,wanders
forente,united
tvile,doubt
tilståelse,confession
èn,one
jamal,jam
indianer,Indian
plassere,place
griffin,griffin
forklarte,explain
brendan,brendan
skyldte,owe
parkeringsplassen,parking lot
sulter,starve
douglas,douglas
bitch,bitch
scotty,scotty
skurker,villains
effekt,effect
svakt,weak
leksene,homework
kenneth,kenneth
powers,powers
avfyrt,demolish
otto,otto
sovner,fall asleep
besetningen,the crew
vrede,anger
billettene,the tickets
reggie,reggie
fødselsdag,birthday
pålitelig,reliable
bortført,abducted
plukk,pick
ondskapen,evil
stu,living
hamilton,Hamilton
blodig,bloody
kneet,knee
tvillinger,twins
tretti,thirty
dråpe,drop
dude,dude
bjørnen,bear
baksetet,back seat
sirkel,circle
veske,bag
dj,DJ
duncan,duncan
brun,brown
røyken,smoke
begravde,buried
politistasjonen,the police station
madison,madison
studenter,students
kafeen,cafe
fitta,pussy
avgjørelser,decisions
wes,wes
lynette,lightning
jøsses,jeezes
forfulgt,pursued
fremfor,in front
gideon,gideon
gjelden,debt
skrubbsulten,scrub
portland,portland
fremad,front
dagbok,diary
retningen,direction
pulsen,pulse
politiets,police
sårede,wounded
naturlige,natural
historisk,historic
dype,deep
fordeler,benefits
huleste,holiest
forståelig,understandable
slanger,snakes
julaften,Christmas Eve
tunnel,tunnel
utfordrer,challenger
oppfant,invent
tortur,torture
beskytt,shect
telefonene,the phones
spenning,voltage
bidrag,contribution
sminke,makeup
rikdom,wealth
foregikk,took place
vegg,wall
klinikken,clinic
gin,gin
paulie,Paulie
kung,kung
ubåten,submarine
hersker,ruler
sorte,black
vert,host
takknemlige,grate
anholdt,arrest
young,young
undervise,instruct
økonomi,economy
sookie,sookie
deb,debate
følelsesmessig,emotional
pannekaker,pancakes
nett,net
svir,Burns
we,we
strøket,cleared
bråket,noise
anger,regret
kontoen,account
old,old
hjul,wheel
safen,safe
eksplodere,explode
offisielle,official
e.,e.
fryktelige,terrible
